time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140284141360990,1406.91,1406.92,1404.63,1408.62,1406.8,1405.1,0,0,
638140284141362895,1406.91,1406.92,1404.63,1408.62,1406.86,1405.1,0,0,
638140284141363288,1406.91,1406.92,1404.63,1408.62,1406.99,1405.1,0,0,
638140284141363721,1406.91,1406.92,1404.63,1408.62,1406.99,1405.1,0,0,
638140284141364134,1406.91,1406.92,1404.63,1408.62,1406.99,1405.1,0,0,
638140284141364590,1406.91,1406.92,1404.63,1408.62,1406.99,1405.1,0,0,
638140284141365006,1406.91,1406.92,1404.63,1408.62,1407.21,1405.1,0,0,
638140284141365439,1406.91,1406.92,1404.63,1408.62,1407.21,1405.1,0,0,
638140284141365828,1406.91,1406.92,1404.63,1408.62,1407.21,1405.1,0,0,
638140284141366256,1406.91,1406.92,1404.63,1408.62,1407.21,1405.1,0,0,
638140284141366800,1406.91,1406.92,1404.63,1408.62,1407.39,1405.1,0,0,
638140284141367516,1406.91,1406.92,1404.63,1408.62,1407.39,1405.1,0,0,
638140284141367918,1406.91,1406.92,1404.63,1408.62,1407.39,1405.1,0,0,
638140284141368317,1406.91,1406.92,1404.63,1408.62,1407.39,1405.1,0,0,
638140284141368813,1406.91,1406.92,1404.63,1408.62,1407.41,1405.1,0,0,
638140284141369208,1406.91,1406.92,1404.63,1408.62,1407.43,1405.1,0,0,
638140284141369567,1406.91,1406.92,1404.63,1408.62,1407.43,1405.1,0,0,
638140284141370027,1406.91,1406.92,1404.63,1408.62,1407.43,1405.1,0,0,
638140284142893561,1406.91,1406.92,1404.63,1408.62,1407.42,1405.1,0,0,
638140284147680204,1406.99,1406.92,1404.63,1408.62,1407.42,1405.1,0,0,
638140284147686062,1406.99,1407,1404.63,1408.62,1407.42,1405.1,0,0,
638140284157630745,1407.03,1407.01,1404.63,1408.62,1407.42,1405.1,0,0,
638140284157634043,1407.03,1407.01,1404.63,1408.62,1407.42,1405.1,0,0,
638140284157634747,1407.03,1407.01,1404.63,1408.62,1407.42,1405.1,0,0,
638140284157635147,1407.03,1407.04,1404.63,1408.62,1407.42,1405.1,0,0,
638140284157883736,1407.03,1407.04,1404.63,1408.62,1407.59,1405.1,0,0,
638140284158668569,1407.1,1407.04,1404.63,1408.62,1407.59,1405.1,0,0,
638140284158682412,1407.1,1407.11,1404.63,1408.62,1407.59,1405.1,0,0,
638140284161835906,1407.1,1407.11,1404.63,1408.62,1407.66,1405.1,0,0,
638140284161836393,1407.1,1407.11,1404.63,1408.62,1407.66,1405.1,0,0,
638140284162607039,1407.18,1407.11,1404.63,1408.62,1407.66,1405.1,0,0,
638140284162621775,1407.18,1407.19,1404.63,1408.62,1407.66,1405.1,0,0,
638140284170653932,1407.28,1407.19,1404.63,1408.62,1407.66,1405.1,0,0,
638140284170654466,1407.28,1407.19,1404.63,1408.62,1407.66,1405.1,0,0,
638140284170678249,1407.28,1407.29,1404.63,1408.62,1407.66,1405.1,0,0,
638140284170678789,1407.28,1407.29,1404.63,1408.62,1407.66,1405.1,0,0,
638140284172751431,1407.18,1407.29,1404.63,1408.62,1407.66,1405.1,0,0,
638140284172767518,1407.18,1407.2,1404.63,1408.62,1407.66,1405.1,0,0,
638140284172769190,1407.18,1407.19,1404.63,1408.62,1407.66,1405.1,0,0,
638140284173022133,1407.18,1407.19,1404.63,1408.62,1407.6,1405.1,0,0,
638140284176803598,1407.18,1407.19,1404.63,1408.62,1407.55,1405.1,0,0,
638140284177759943,1407.18,1407.19,1404.63,1408.62,1407.56,1405.1,0,0,
638140284177760403,1407.18,1407.19,1404.63,1408.62,1407.56,1405.1,0,0,
638140284179621953,1407.15,1407.19,1404.63,1408.62,1407.56,1405.1,0,0,
638140284179625844,1407.15,1407.16,1404.63,1408.62,1407.56,1405.1,0,0,
638140284179775084,1407.15,1407.16,1404.63,1408.62,1407.45,1405.1,0,0,
638140284180708469,1407.15,1407.06,1404.63,1408.62,1407.45,1405.1,0,0,
638140284180711444,1407.15,1407.05,1404.63,1408.62,1407.45,1405.1,0,0,
638140284180744019,1407.1,1407.05,1404.63,1408.62,1407.45,1405.1,0,0,
638140284180784453,1407.04,1407.05,1404.63,1408.62,1407.45,1405.1,0,0,
638140284181023957,1407.04,1407.05,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181634160,1406.96,1407.05,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181634830,1406.96,1407.05,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181642224,1406.96,1407.16,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181643168,1406.96,1407.01,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181643418,1406.96,1406.97,1404.63,1408.62,1407.33,1405.1,0,0,
638140284181643825,1406.96,1406.97,1404.63,1408.62,1407.33,1405.1,0,0,
638140284193724000,1406.96,1406.94,1404.63,1408.62,1407.33,1405.1,0,0,
638140284193725492,1406.96,1406.93,1404.63,1408.62,1407.33,1405.1,0,0,
638140284193727755,1406.96,1406.83,1404.63,1408.62,1407.33,1405.1,0,0,
638140284193762194,1406.82,1406.83,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194646424,1406.82,1406.91,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194648100,1406.82,1406.79,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194648537,1406.82,1406.79,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194650158,1406.82,1406.78,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194707235,1406.77,1406.78,1404.63,1408.62,1407.33,1405.1,0,0,
638140284194708578,1406.77,1406.78,1404.63,1408.62,1407.33,1405.1,0,0,
638140284200671160,1406.7,1406.78,1404.63,1408.62,1407.33,1405.1,0,0,
638140284200671857,1406.7,1406.78,1404.63,1408.62,1407.33,1405.1,0,0,
638140284200679011,1406.7,1406.77,1404.63,1408.62,1407.33,1405.1,0,0,
638140284200679553,1406.7,1406.71,1404.63,1408.62,1407.33,1405.1,0,0,
638140284201155346,1406.7,1406.71,1404.63,1408.62,1406.96,1405.1,0,0,
638140284201155862,1406.7,1406.71,1404.63,1408.62,1406.96,1405.1,0,0,
638140284201840557,1406.6,1406.71,1404.63,1408.62,1406.96,1405.1,0,0,
638140284201894862,1406.6,1406.66,1404.63,1408.62,1406.96,1405.1,0,0,
638140284201895291,1406.6,1406.61,1404.63,1408.62,1406.96,1405.1,0,0,
638140284201929231,1406.6,1406.61,1404.63,1408.62,1406.9,1405.1,0,0,
638140284204727971,1406.49,1406.61,1404.63,1408.62,1406.9,1405.1,0,0,
638140284204745868,1406.49,1406.59,1404.63,1408.62,1406.9,1405.1,0,0,
638140284204747185,1406.49,1406.52,1404.63,1408.62,1406.9,1405.1,0,0,
