time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140283369326853,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283378281926,0.003689,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283379182713,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283413368357,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283413369142,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283416011025,0.00369,0.003691,0.0036875,0.0036978,0.003688,0.00369,0,0,
638140283416011539,0.00369,0.003691,0.0036875,0.0036978,0.003688,0.00369,0,0,
638140283444830640,0.00369,0.003691,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283488831330,0.00369,0.003691,0.0036875,0.0036978,0.003688,0.00369,0,0,
638140283493867672,0.00369,0.003691,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283509386223,0.00369,0.003692,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283509450331,0.003691,0.003692,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283512399340,0.003692,0.003692,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283512399695,0.003692,0.003693,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283545398846,0.003691,0.003693,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283545402878,0.003691,0.003692,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283546911376,0.003691,0.003692,0.0036875,0.0036978,0.003688,0.00369,0,0,
638140283547850051,0.003691,0.003692,0.0036875,0.0036978,0.003689,0.00369,0,0,
638140283559800370,0.003691,0.003692,0.0036875,0.0036978,0.003688,0.00369,0,0,
638140283559800786,0.003691,0.003692,0.0036875,0.0036978,0.00369,0.00369,0,0,
638140283559803037,0.003691,0.003692,0.0036875,0.0036978,0.00369,0.003693,0,0,
638140283569741196,0.003691,0.003692,0.003685,0.0036978,0.00369,0.003693,0,0,
638140283571905376,0.003691,0.003692,0.003685,0.0036978,0.00369,0.003692,0,0,
638140283572859213,0.003691,0.003692,0.003685,0.0036978,0.00369,0.003691,0,0,
638140283578835272,0.003691,0.003692,0.003685,0.0036978,0.00369,0.003692,0,0,
638140283581841139,0.003691,0.003692,0.003685,0.0036978,0.00369,0.003693,0,0,
638140283629407576,0.003691,0.003693,0.003685,0.0036978,0.00369,0.003693,0,0,
638140283631287436,0.003692,0.003693,0.003685,0.0036978,0.00369,0.003693,0,0,
