time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199810360851,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199815569780,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199821082260,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199826304187,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199831620078,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199837663315,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199843089446,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199848385736,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199853434593,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199858550636,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199864055377,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199869290904,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199870980172,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199874263742,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199874888109,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199879605388,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199881978051,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199882136801,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199887317002,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199887317773,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031502,0.0031638,
638143199888723104,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031502,0.0031638,
638143199893737994,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031502,0.0031638,
638143199900099498,0,0,0,0.00316331,0.003154,0.003158,0.00315397,0.00316202,0.0031502,0.0031638,
638143199900309414,0,0,0,0.00316331,0.003154,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199902669072,0,0,0,0.00316331,0.003154,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199905751979,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199906074576,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199910782181,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199913248026,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199915154599,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199915732913,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199920148811,0,0,0,0.00316331,0.003155,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143199924084235,0,0,0,0.00316331,0.003155,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199925678119,0,0,0,0.00316331,0.003155,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
638143199934829754,0,0,0,0.00316331,0.003154,0.003159,0.00315449,0.00316202,0.0031502,0.0031638,
